deal_id_x,po_number,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,COGS int SKU Cost exact,total_product_quantity,cost_per_sku,total_sku_cost
16388154134,42956,12/6/2023,120,1196.4,Distributor,New Business,,Closed and Won,,,Event in the Past Year,2,Low ,10.02208762v1,10,,2,3,,12/29/2023,,,,5,,,,,60,2.85,205.2
16388154134,42956,12/6/2023,120,1196.4,Distributor,New Business,,Closed and Won,,,Event in the Past Year,2,Low ,10.02208763v1,10,,2,3,,12/29/2023,,,,5,,,,,60,2.85,205.2
14108635196,42957,7/13/2023,120,1184.4,Distributor,New Business,,Closed and Won,,,Client Referral,3,Low ,15.02200640v2,15,,7,3,,12/29/2023,,,,10,,,,,120,3.84,506.88
16358971743,42958,12/4/2023,360,4343.97,Direct,New Business,,Closed and Won,,,Paid Search,1,High Res Preview,10.02205483v1,10,,2,1,,12/29/2023,,,,30,,,,,360,1.96,729.12
16327565462,42961,12/1/2023,250,2015,Distributor,Existing Business,,Payment Pending,,,Email Marketing,3,Low ,10.02204847v2,10,,2,1,,12/29/2023,,,,21,,,,,250,1.96,517.44
16642816926,42766,12/22/2023,240,1994.4,Distributor,Existing Business,,Payment Pending,,,Pre-Hubspot Contact,2,Low ,10.02208470v2,10,,2,3,,12/28/2023,,,,20,,,,,240,2.43,612.36
16643190067,42770,12/22/2023,1200,7464,Distributor,New Business,,Payment Pending,,,Direct Traffic,2,Low ,10.02208471v1,10,,2,3,,12/28/2023,,,,100,,,,,1200,2.01,2436.12
16643140716,42771,12/22/2023,1200,7464,Distributor,New Business,,Payment Pending,,,Event Longer Than 1 Year Ago,2,Not Rated,10.02164560v1,10,,2,4,,12/28/2023,,,,100,,,,,1200,2.01,2436.12
16645813866,42787,12/22/2023,120,1080,Distributor,Existing Business,,Payment Pending,,,Pre-Hubspot Contact,4,,10.0247816v2,10,,2,1,,12/28/2023,,,,10,,,,,120,2.23,294.36
16690992047,42832,12/26/2023,120,1227.3,Distributor,New Business,,Closed and Won,,,Client Referral,2,,10.02208654v1,10,,2,4,,12/28/2023,,,,10,,,,,120,2.83,373.56
