vendor_id,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
1.00,2860.18,1800.00,137620.00,0.00,10316652.78,4751.62,345.05,200.00,20135.00,16.00,1244600.00,789.56,694.66,423.36,30624.96,114.48,2505648.52,1240.15,0.74,0.74,0.95,-9.28,2657.47,0.28
3.00,2800.43,1520.40,79234.12,0.00,7818795.36,4210.77,341.64,125.00,10000.00,30.00,954207.00,640.71,835.78,426.72,17234.40,136.80,2334344.16,1228.87,0.69,0.69,0.91,-10.05,1917.94,0.22
4.00,1997.95,1172.00,52400.00,0.00,4073818.00,2701.59,222.22,120.00,10000.00,20.00,453110.00,431.98,595.84,360.00,17134.20,108.00,1214908.80,816.55,0.68,0.69,0.88,-10.32,1386.71,0.30
5.00,5795.71,2550.00,67825.00,0.00,214441.26,11998.40,0.00,0.00,0.00,0.00,0.00,0.00,1789.32,560.00,32000.00,91.52,66204.88,5423.33,0.69,0.77,0.92,-0.05,25.62,0.23
10.00,2925.58,1927.50,22970.43,0.00,789907.81,3006.92,0.00,0.00,0.00,0.00,0.00,0.00,618.43,360.00,6102.42,1.80,166976.99,727.53,0.75,0.79,0.98,-4.68,203.37,0.36
