po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost
41072,15781124195,10/25/2023,240.0,2160.0,Distributor,Existing Business,,Closed and Won,,,Paid Search,4,High Res Preview,10.02197151v1,10.0,0.0,2.0,1.0,,2023-11-07,,,,20.0,,,0.0,0.0,2.23,588.72
41073,15941227419,11/6/2023,200.0,1800.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,3,High Res Preview,17.02201578v1,17.0,0.0,9.0,1.0,,2023-11-17,,,,17.0,,,0.0,0.0,1.96,423.36
41074,15944941486,11/6/2023,480.0,5641.4,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,5,,12.02112586v1,12.0,500.0,4.0,1.0,45267.0,2023-11-07,Distributor,existingbusiness,15944941486.0,82.0,1.31,0.0,675.96,655.0,1.63,1456.96
41075,15069795193,9/8/2023,125.0,1156.25,Distributor,Existing Business,,Closed and Won,,,Email Marketing,3,High Res Preview,10.02186790v1,10.0,0.0,2.0,3.0,,2023-11-06,,,,11.0,,,0.0,0.0,2.72,391.68
41076,15945762667,11/6/2023,400.0,3012.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Email Marketing,2,,10.0240412v3,10.0,0.0,2.0,3.0,,2023-11-06,,,,34.0,,,0.0,0.0,2.43,1020.6
41077,15946472998,11/6/2023,120.0,1400.4,Direct,New Business,,Closed and Won,Portal Order,,Organic Search,2,,10.02126641v1,10.0,0.0,2.0,1.0,,2023-11-06,,,,10.0,,,0.0,0.0,2.23,294.36
41078,15416020498,10/2/2023,260.0,2160.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Medium ,10.02197101v1,10.0,0.0,2.0,1.0,,2023-11-06,,,,22.0,,,0.0,0.0,1.96,540.96
41079,15945787974,11/6/2023,500.0,3425.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,5,,10.0248411v4,10.0,0.0,2.0,1.0,,2023-11-06,,,,42.0,,,0.0,0.0,1.96,1011.36
41080,15946680385,11/6/2023,120.0,1520.4,Direct,Existing Business,,Closed and Won,Reorder Button,,Referrals,2,,10.02192508v1,10.0,0.0,2.0,4.0,,2023-11-06,,,,10.0,,,0.0,0.0,2.83,373.56
41081,15945926778,11/6/2023,500.0,3435.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,5,,10.0248411v4,10.0,0.0,2.0,1.0,,2023-11-06,,,,42.0,,,0.0,0.0,1.96,1011.36
41083,14084588463,7/12/2023,175.0,1575.0,Distributor,Existing Business,,Closed and Won,Intake 4.0 Logged In,,CommonSku,3,Low ,10.02175175v1,10.0,0.0,2.0,1.0,,2023-11-08,,,,15.0,,,0.0,0.0,1.96,376.32
41084,15862382647,10/31/2023,160.0,1419.2,Distributor,Existing Business,,Closed and Won,,,Email Marketing,3,Low ,15.02198407v4,15.0,0.0,7.0,3.0,,2023-11-06,,,,14.0,,,0.0,0.0,3.66,658.8
41085,15946965272,11/6/2023,480.0,3290.6,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,3,,10.02180609v1,10.0,0.0,2.0,3.0,,2023-11-07,,,,40.0,,,0.0,0.0,2.43,1195.56
41086,15941028401,11/6/2023,1000.0,7670.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,1,Low ,55.02199478v1,55.0,0.0,114.0,4.0,,2023-11-07,,,,84.0,,,0.0,0.0,2.18,2223.6
41087,15945651267,11/13/2023,0.0,2432.46,Distributor,New Business,,Payment Pending,,,Event in the Past Year,2,,9102199541v2,910.0,500.0,25.0,5.0,45265.0,2023-11-07,Distributor,newbusiness,15945651267.0,42.0,0.76,90.0,581.28,560.0,,560.0
41088,15881993583,11/1/2023,30.0,647.7,Direct,New Business,,Closed and Won,Intake 4.0 Logged Out,,Direct Traffic,1,High Res Preview,10.02198806v1,10.0,0.0,2.0,3.0,,2023-11-09,,,,3.0,,,0.0,0.0,3.18,152.64
41089,15954467476,11/7/2023,60.0,744.0,Distributor,Existing Business,,Payment Pending,Portal Order,,Email Marketing,2,,55.02199652v1,55.0,0.0,114.0,3.0,,2023-11-07,,,,5.0,,,0.0,0.0,2.98,214.56
41090,15770399537,10/24/2023,30.0,398.7,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,High Res Preview,10.02196676v1,10.0,0.0,2.0,3.0,,2023-11-07,,,,3.0,,,0.0,0.0,3.18,152.64
41091,15909562158,11/3/2023,100.0,1147.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,10.02199477v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,9.0,,,0.0,0.0,2.85,342.0
41092,15671657582,10/17/2023,175.0,2444.35,Direct,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Organic Search,2,Medium ,10.03199220v2,10.0,0.0,2.0,1.0,,2023-11-07,,,,16.0,,,0.0,0.0,3.18,481.91999999999996
41093,15782110469,10/25/2023,75.0,1199.25,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,High Res Preview,10.02198730v1,10.0,0.0,2.0,3.0,,2023-11-09,,,,7.0,,,0.0,0.0,2.85,273.6
41094,15668563837,10/17/2023,720.0,5808.23,Distributor,Existing Business,,Payment Pending,,,Event Longer Than 1 Year Ago,3,High Res Preview,10.02194847v1,10.0,0.0,2.0,1.0,,2023-11-07,,,,60.0,,,0.0,0.0,1.96,1458.24
41095,15850454842,10/30/2023,60.0,688.2,Distributor,New Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.02198160v1,10.0,0.0,2.0,4.0,,2023-11-07,,,,5.0,,,0.0,0.0,2.83,203.76
41096,15468392869,10/5/2023,60.0,654.0,Distributor,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Event Longer Than 1 Year Ago,4,Not Rated,55.02192825v1,55.0,0.0,114.0,4.0,,2023-11-09,,,,5.0,,,0.0,0.0,3.0,216.0
41097,15810655793,10/27/2023,250.0,2865.0,Direct,Existing Business,,Closed and Won,,,Paid Search,2,Low ,10.02197637v1,10.0,0.0,2.0,1.0,,2023-11-07,,,,21.0,,,0.0,0.0,1.96,517.44
41098,15956064946,11/7/2023,120.0,990.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,CommonSku,2,,10.02152959v2,10.0,0.0,2.0,1.0,,2023-11-07,,,,10.0,,,0.0,0.0,2.23,294.36
41099,15956427019,11/7/2023,100.0,1210.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,CommonSku,3,,55.02126505v1,55.0,0.0,114.0,4.0,,2023-11-07,,,,9.0,,,0.0,0.0,3.0,360.0
41100,15957087546,11/7/2023,60.0,887.4,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,2,,10.0295350v1,10.0,0.0,2.0,4.0,,2023-11-07,,,,6.0,,,0.0,0.0,3.25,312.0
41101,15612643222,10/13/2023,300.0,2981.21,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,3,Low ,55.02198073v1,55.0,0.0,114.0,1.0,,2023-11-09,,,,25.0,,,0.0,0.0,1.88,586.56
41102,15957108376,11/7/2023,500.0,3700.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Event in the Past Year,3,,46.0292083v1,46.0,0.0,113.0,1.0,,2023-11-07,,,,42.0,,,0.0,0.0,1.79,923.64
