amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std,amount_in_company_currency_mean,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2843.0118181818184,9389.52,1521.6,31273.13,2330.7828170158546,447.54545454545456,1600.0,200.0,4923.0,449.9180733503298,727.1236363636364,2366.4,313.2,7998.36,653.0151335347862,4.31238513518537,5.852923447860157,2.8870858688302907,47.436236487039075,0.8976223837642553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2373.5496296296296,18970.38,912.0,256343.36000000002,2087.7344641285545,240.87037037037038,2853.0,120.0,26014.0,294.74694017079884,903.0666666666666,7858.32,488.4,97531.2,837.769470898823,2.672762758905796,6.996310763888889,1.7428841224875222,288.658377961826,0.6625501660292861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3753.4741530054644,79234.12,416.7,1373771.54,6255.64569657449,479.6475409836066,6900.0,30.0,175551.0,860.5878550468916,1011.8708196721311,11888.64,152.64,370344.72,1447.2791450294355,3.600052613744905,8.768457662394566,1.9151069518716577,1317.6192566306352,0.8828636069383099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896.4166666666667,8021.25,0.0,22757.0,2072.446878285461,246.16666666666666,1250.0,30.0,2954.0,330.3688939058974,557.98,2175.12,122.88,6695.76,547.0836188039598,3.436626597618423,5.709635416666667,0.0,41.23951917142108,1.3162003718770223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4533.880487804879,23633.0,660.0,185889.1,5663.278769070506,736.829268292683,5000.0,60.0,30210.0,1128.23264228702,2107.9346341463415,13442.88,300.96,86425.32,3000.3928571806205,2.4287928763917876,4.649591894173938,1.758031017162989,99.5805079320633,0.5937723369046021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2767.8675000000003,4368.0,1555.0,11071.470000000001,1274.0651305532485,420.0,700.0,250.0,1680.0,215.87033144922904,1254.69,2116.8,715.44,5018.76,676.1753739970127,2.285363234623637,2.734638823660964,2.0634920634920633,9.141452938494549,0.3038302317602504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091.2,3091.2,3091.2,3091.2,,120.0,120.0,120.0,120.0,,426.36,426.36,426.36,426.36,,7.250211089220376,7.250211089220376,7.250211089220376,7.250211089220376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610.4862606232296,65565.0,0.0,921501.65,5220.886302015647,354.62039660056655,15500.0,50.0,125181.0,1072.8791647165103,778.7867422096316,23584.32,184.32,274911.72,1667.545323135205,3.3679731535314814,18.88427734375,0.0,1188.894523196613,1.2531501514396577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607.3475,5920.0,636.19,20858.78,2028.6253268284906,243.875,585.0,30.0,1951.0,221.08526958748615,575.895,1344.0,140.64,4607.16,447.26501185379055,4.667827158221105,5.989025297619048,3.4086378737541527,37.34261726576884,0.973632985343729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041.6911111111112,6420.0,581.4,18375.22,1761.117909655998,264.44444444444446,1000.0,60.0,2380.0,292.36582867663896,646.8399999999999,2022.72,184.32,5821.5599999999995,573.6877276010007,3.3277003871277784,4.912109375,2.190325497287523,29.949303484150004,0.7589556383203422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3483.2874193548387,24450.0,150.4,323945.73,4092.924699518166,481.06451612903226,5000.0,20.0,44739.0,753.5303981989166,1020.8838709677419,8527.2,108.0,94942.2,1290.1550268972835,3.4669745966720895,6.340415250283277,1.3925925925925926,322.42863749050434,0.708690212255736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2823.68,4330.36,1317.0,5647.36,2130.7672901562946,326.0,502.0,150.0,652.0,248.90158697766472,900.8399999999999,1383.36,418.32,1801.6799999999998,682.3863281162658,3.139313947571788,3.1483075157773954,3.130320379366181,6.278627895143576,0.01271882613049725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2604.7414285714285,46103.45,0.0,802260.36,3835.5295741962573,321.1363636363636,8000.0,60.0,98910.0,599.8896322832524,686.4058441558442,12504.96,172.08,211413.0,961.1343429434196,3.6632316287517463,10.036270277341707,0.0,1128.2753416555379,1.148260322050915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165.110263157895,3501.3,18.0,22137.095,837.4659352284023,107.63157894736842,485.0,20.0,2045.0,117.49761724596601,339.6063157894737,1280.16,117.0,6452.52,284.9548777576807,3.651071193549002,6.684944968553459,0.15384615384615385,69.37035267743104,1.4906769973392588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859.62375,8647.56,384.9,133892.91,1504.2992398010515,185.77777777777777,720.0,30.0,13376.0,143.38466162514865,487.6116666666667,1874.1599999999999,152.64,35108.04,336.5078993233922,3.837417885437764,11.37219730941704,1.888987043580683,276.294087751519,1.4608236412404632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316.575495841331,43050.0,0.0,3620807.5,3044.9811850076794,257.31074168797954,7000.0,25.0,402434.0,424.436302230402,623.7675191815857,10849.92,122.88,975572.4,772.817619950652,3.7109153543250963,13.72292751736111,0.0,5800.160698810126,1.0795216351089185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
