client_type_x,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
Direct,2911.44,1756.90,137620.00,0.00,7176705.09,4221.29,235.70,120.00,20000.00,0.00,581004.00,529.07,594.42,369.60,30460.80,3.60,1465249.71,886.54,0.77,0.79,0.95,-10.32,1905.33,0.35
Distributor,2550.13,1377.24,96543.70,0.00,15660335.54,4206.03,329.20,150.00,20135.00,0.00,2021960.00,706.06,766.88,410.40,32000.00,1.80,4710149.96,1292.04,0.68,0.70,0.98,-8.46,4198.50,0.19
Wholesale,2709.17,1350.00,26200.00,0.00,376574.57,3909.79,352.18,125.00,5000.00,0.00,48953.00,657.49,810.67,407.52,8577.36,152.64,112683.68,1194.65,0.63,0.70,0.80,-9.28,87.27,0.85
