po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,dont_use_total_intl_unit_cost,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin,month,year
37771,14084672514,7/12/2023,100.0,1147.0,Distributor,Existing Business,,Closed and Won,Portal Order,,Pre-Hubspot Contact,2,,10.0227001v3,10.0,0.0,2.0,4.0,,2023-07-12,,,,9.0,,,0.0,0.0,2.83,339.6,0.7039232781168265,7,2023
37772,14068294501,7/11/2023,30.0,1017.3,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,2,Medium ,49.02175002v1,49.0,0.0,116.0,1.0,,2023-07-12,,,,3.0,,,0.0,0.0,3.18,152.64,0.8499557652609849,7,2023
37774,14085073307,7/12/2023,250.0,2077.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.02154719v1,10.0,0.0,2.0,3.0,,2023-07-12,,,,21.0,,,0.0,0.0,2.54,670.56,0.6772274368231047,7,2023
37775,13603541857,6/6/2023,120.0,1858.8,Direct,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Direct Traffic,1,,10.02122689v2,10.0,0.0,2.0,4.0,,2023-07-12,,,,10.0,,,0.0,0.0,2.83,407.52,0.7807617817947062,7,2023
37777,14089691481,7/12/2023,120.0,1520.4,Direct,Existing Business,,Closed and Won,Reorder Button,,Organic Search,1,,10.02155334v1,10.0,0.0,2.0,1.0,,2023-07-12,,,,10.0,,,0.0,0.0,2.23,294.36,0.8063930544593527,7,2023
37778,13823412144,6/22/2023,160.0,1376.0,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,3,High Res Preview,55.02172269v1,55.0,0.0,114.0,4.0,,2023-07-12,,,,14.0,,,0.0,0.0,2.7,486.0,0.6468023255813954,7,2023
37779,13909895010,6/29/2023,120.0,1184.4,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,Low ,15.02173717v3,15.0,0.0,7.0,3.0,,2023-07-12,,,,10.0,,,0.0,0.0,3.84,506.88,0.5720364741641337,7,2023
37780,14089009949,7/12/2023,120.0,1520.4,Direct,Existing Business,,Closed and Won,Reorder Button,,Organic Search,2,,10.0219046v2,10.0,0.0,2.0,3.0,,2023-07-12,,,,10.0,,,0.0,0.0,2.72,359.04,0.7638516179952645,7,2023
37781,14088928000,7/12/2023,60.0,706.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.02140675v1,10.0,0.0,2.0,4.0,,2023-07-13,,,,5.0,,,0.0,0.0,2.83,203.76,0.7114698385726423,7,2023
37782,10695508151,10/26/2022,120.0,990.0,Distributor,New Business,,Closed and Won,,,Email Marketing,1,Low ,10.02123149v1,10.0,0.0,2.0,4.0,,2023-07-13,,,,10.0,,,0.0,0.0,2.71,357.72,0.6386666666666666,7,2023
