po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,dont_use_total_intl_unit_cost,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin,month,year
26312,7258923049,12/15/2021,750.0,6040.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,Low ,55.02122345v8,55.0,0.0,114.0,1.0,,2023-01-20,,,,64.0,,,0.0,0.0,1.96,1552.3200000000002,0.7429933774834437,1,2023
29349,9897009813,8/22/2022,750.0,7312.28,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,High Res Preview,10.02111566v1,10.0,0.0,2.0,4.0,,2023-01-19,,,,63.0,,,0.0,0.0,2.01,1543.68,0.7888921102583598,1,2023
31314,10995064705,11/18/2022,120.0,1515.93,Direct,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,10.02124485v1,10.0,0.0,2.0,3.0,,2023-03-21,,,,10.0,,,0.0,0.0,2.72,359.04,0.7631552908115811,3,2023
31432,11042755200,11/22/2022,148.0,1332.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.02132759v1,10.0,0.0,2.0,3.0,,2023-01-24,,,,13.0,,,0.0,0.0,2.54,426.72,0.6796396396396396,1,2023
31662,10476704066,10/6/2022,120.0,1329.0,Wholesale,New Business,,Payment Pending,,,Pre-Hubspot Contact,1,Not Rated,10.02118455v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,10.0,,,0.0,0.0,2.83,419.76,0.6841534988713318,1,2023
31982,11290550601,12/9/2022,147.0,1359.75,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.02131625v1,10.0,0.0,2.0,1.0,,2023-01-25,,,,13.0,,,0.0,0.0,1.96,329.28,0.7578378378378379,1,2023
32053,11733876258,1/17/2023,1840.0,1400.4,Direct,Existing Business,,Closed and Won,Portal Order,,Client Referral,2,,10.02126525v4,10.0,0.0,2.0,4.0,,2023-02-03,,,,156.0,,,0.0,0.0,2.71,4764.24,-2.4020565552699225,2,2023
32178,11372564350,12/16/2022,200.0,1920.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,55.02136287v4,55.0,0.0,114.0,1.0,,2023-01-23,,,,17.0,,,0.0,0.0,1.96,423.36,0.7795,1,2023
32197,11191963568,12/2/2022,500.0,4990.0,Direct,Existing Business,,Closed and Won,,,Client Referral,3,High Res Preview,10.02133258v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,42.0,,,0.0,0.0,2.54,1310.64,0.7373466933867735,1,2023
32199,11412733699,12/20/2022,1775.0,15073.75,Direct,Existing Business,,Closed and Won,Portal Order,,Email Marketing,1,,10.0244586v1,10.0,0.0,2.0,3.0,,2023-01-04,,,,148.0,,,0.0,0.0,2.01,3593.88,0.7615802305332117,1,2023
32292,11441551636,12/22/2022,60.0,585.6,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,17.02133425v2,17.0,0.0,9.0,1.0,,2023-01-05,,,,5.0,,,0.0,0.0,2.56,184.32,0.6852459016393443,1,2023
32325,11446544667,12/22/2022,120.0,1125.6,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,2,Low ,55.02133671v2,55.0,0.0,114.0,1.0,,2023-01-04,,,,10.0,,,0.0,0.0,2.23,294.36,0.7384861407249467,1,2023
32328,11454120221,12/23/2022,180.0,1981.8,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,High ,10.02133675v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,15.0,,,0.0,0.0,2.83,611.28,0.6915531335149864,1,2023
32330,11144681798,11/29/2022,200.0,1556.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,Low ,10.02133673v2,10.0,0.0,2.0,3.0,,2023-01-03,,,,17.0,,,0.0,0.0,2.54,548.64,0.6474035989717224,1,2023
32331,11433054746,12/21/2022,60.0,585.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,10.02133409v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,5.0,,,0.0,0.0,2.83,203.76,0.6520491803278688,1,2023
32388,11503314852,12/28/2022,720.0,4780.8,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0242508v1,10.0,0.0,2.0,1.0,,2023-01-05,,,,60.0,,,0.0,0.0,1.79,1310.28,0.7259287148594378,1,2023
32390,11499947302,12/28/2022,120.0,963.6,Distributor,Existing Business,,Closed and Won,,,CommonSku,2,High Res Preview,10.02133915v2,10.0,0.0,2.0,3.0,,2023-01-03,,,,10.0,,,0.0,0.0,2.72,359.04,0.6273972602739726,1,2023
32393,11456281252,12/23/2022,153.0,1377.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.02133731v1,10.0,0.0,2.0,3.0,,2023-11-16,,,,13.0,,,0.0,0.0,2.54,426.72,0.6901089324618737,11,2023
32398,11228088408,12/5/2022,0.0,175.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,932134030v1,93.0,2.0,120.0,10.0,44963.0,2023-01-10,Distributor,existingbusiness,11228088408.0,1.0,1.8,0.0,43.2,3.6,,3.6,0.9794285714285714,1,2023
32399,11511721349,12/29/2022,105.0,1182.3,Distributor,Existing Business,,Closed and Won,,,SAGE,2,,10.02134037v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,9.0,,,0.0,0.0,2.83,339.6,0.7127632580563309,1,2023
32403,11433021832,12/21/2022,200.0,1756.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,,10.0279952v1,10.0,0.0,2.0,1.0,,2023-01-12,,,,17.0,,,0.0,0.0,1.96,423.36,0.7589066059225512,1,2023
32405,10444840475,10/4/2022,1000.0,18890.0,Direct,New Business,,Closed and Won,,,Paid Search,1,,10.022728v4,10.0,0.0,2.0,1.0,,2023-01-17,,,,84.0,,,0.0,0.0,1.79,1825.8,0.903345685547909,1,2023
32411,11439701556,12/22/2022,61.0,1354.51,Direct,New Business,,Closed and Won,Intake 3.0,,Direct Traffic,1,High Res Preview,55.02133433v1,55.0,0.0,114.0,1.0,,2023-01-05,,,,6.0,,,0.0,0.0,2.56,215.04,0.8412414821596002,1,2023
32412,11194009344,12/2/2022,455.0,6179.15,Direct,Existing Business,,Closed and Won,,,Email Marketing,4,High Res Preview,10.02133738v1,10.0,0.0,2.0,3.0,,2023-01-04,,,,39.0,,,0.0,0.0,2.54,1280.16,0.7928258741088985,1,2023
32413,11523644930,12/30/2022,240.0,1776.0,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,2,,10.0210629v1,10.0,0.0,2.0,1.0,,2023-01-05,,,,20.0,,,0.0,0.0,1.96,493.92,0.7218918918918918,1,2023
32428,11528470635,12/30/2022,500.0,4371.69,Direct,Existing Business,,Closed and Won,Reorder Button,,Client Referral,2,,10.02112571v4,10.0,0.0,2.0,1.0,,2023-01-02,,,,42.0,,,0.0,0.0,1.96,1011.36,0.7686569724751755,1,2023
32430,10822034767,11/5/2022,120.0,2710.8,Direct,New Business,,Closed and Won,3D Builder,,Direct Traffic,1,High Res Preview,10.02125699v3,10.0,0.0,2.0,3.0,,2023-01-02,,,,10.0,,,0.0,0.0,2.72,359.04,0.86755201416556,1,2023
32431,11530754374,12/30/2022,120.0,1210.8,Distributor,Existing Business,,Closed and Won,,,ESP Central,3,,11.0288242v1,11.0,0.0,3.0,3.0,,2023-01-03,,,,10.0,,,0.0,0.0,2.88,380.16,0.6860257680872149,1,2023
32432,11506066844,12/28/2022,360.0,3578.4,Direct,New Business,,Closed and Won,Intake 3.0,,Organic Search,1,High Res Preview,10.02134121v2,10.0,0.0,2.0,1.0,,2023-01-03,,,,30.0,,,0.0,0.0,1.96,729.12,0.7962441314553991,1,2023
32433,11509412407,12/29/2022,300.0,3348.0,Direct,New Business,,Closed and Won,3D Builder,,Email Marketing,1,High Res Preview,10.02134102v2,10.0,0.0,2.0,3.0,,2023-01-03,,,,25.0,,,0.0,0.0,2.54,792.48,0.7632974910394266,1,2023
32434,11488881688,12/27/2022,180.0,2226.6,Direct,New Business,,Closed and Won,Intake 3.0,,Direct Traffic,1,High Res Preview,10.02133806v3,10.0,0.0,2.0,1.0,,2023-01-03,,,,15.0,,,0.0,0.0,1.96,376.32,0.830988951765023,1,2023
32435,11320059904,12/12/2022,150.0,2008.58,Direct,New Business,,Closed and Won,Template Download,,Organic Search,1,Low ,10.02134083v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,13.0,,,0.0,0.0,2.54,426.72,0.7875514044748031,1,2023
32436,11426140167,12/21/2022,190.0,1710.0,Distributor,Existing Business,,Closed and Won,,,WT Reorder,2,,10.0276984v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,16.0,,,0.0,0.0,2.54,518.16,0.6969824561403509,1,2023
32437,11529773172,12/30/2022,60.0,585.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.02134199v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,5.0,,,0.0,0.0,2.83,203.76,0.6520491803278688,1,2023
32438,11371124112,12/16/2022,240.0,2902.43,Direct,Existing Business,,Closed and Won,Intake 3.0,,Organic Search,2,Low ,10.02133240v4,10.0,0.0,2.0,4.0,,2023-01-03,,,,20.0,,,0.0,0.0,2.54,640.08,0.7794675496049862,1,2023
32439,11566868775,1/3/2023,200.0,2534.0,Direct,Existing Business,,Closed and Won,,,Paid Search,1,,10.02133055v1,10.0,0.0,2.0,1.0,,2023-01-04,,,,17.0,,,0.0,0.0,1.96,423.36,0.8329281767955801,1,2023
32440,11566194044,1/3/2023,60.0,598.2,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,,10.0229990v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,5.0,,,0.0,0.0,2.83,203.76,0.6593781344032097,1,2023
32441,11493553422,12/27/2022,300.0,2208.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,High Res Preview,10.02133859v2,10.0,0.0,2.0,3.0,,2023-01-03,,,,25.0,,,0.0,0.0,2.54,792.48,0.6410869565217391,1,2023
32442,11566011231,1/3/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0278346v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,10.0,,,0.0,0.0,2.71,357.72,0.6687777777777778,1,2023
32443,11490866564,12/27/2022,60.0,693.6,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,High Res Preview,10.02133923v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,5.0,,,0.0,0.0,2.83,203.76,0.7062283737024222,1,2023
32444,10555307576,10/13/2022,2000.0,12040.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,Low ,10.02130725v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,167.0,,,0.0,0.0,2.01,4052.16,0.6634418604651163,1,2023
32445,11243325355,12/6/2022,200.0,2576.1,Direct,New Business,,Closed and Won,,,Referrals,1,Medium ,10.02131300v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,17.0,,,0.0,0.0,2.54,548.64,0.7870269011296146,1,2023
32446,11456426823,12/23/2022,240.0,2220.0,Distributor,New Business,,Closed and Won,,,ASI Connect,1,Low ,17.02134543v1,17.0,0.0,9.0,1.0,,2023-01-04,,,,20.0,,,0.0,0.0,2.23,588.72,0.7348108108108108,1,2023
32447,11347524012,12/14/2022,120.0,1502.7,Direct,New Business,,Closed and Won,Intake 3.0,,Paid Search,1,Low ,55.02132441v2,55.0,0.0,114.0,1.0,,2023-01-12,,,,10.0,,,0.0,0.0,2.23,294.36,0.8041125973248154,1,2023
32448,11490744748,12/27/2022,500.0,3610.0,Distributor,Existing Business,,Closed and Won,Intake 3.0,,,2,Low ,10.02133873v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,42.0,,,0.0,0.0,2.54,1310.64,0.6369418282548476,1,2023
32449,9771227255,8/9/2022,151.0,1359.0,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,High Res Preview,10.02108853v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,13.0,,,0.0,0.0,2.54,426.72,0.6860044150110375,1,2023
32450,11349682568,12/14/2022,144.0,1296.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,,17.02127205v4,17.0,0.0,9.0,4.0,,2023-01-03,,,,12.0,,,0.0,0.0,2.54,396.24,0.6942592592592592,1,2023
32451,11569053255,1/3/2023,100.0,1730.92,Direct,Existing Business,,Closed and Won,Portal Order,,Organic Search,2,,10.0282074v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,9.0,,,0.0,0.0,2.83,339.6,0.8038037575393433,1,2023
32452,11568746628,1/3/2023,400.0,3012.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0269873v3,10.0,0.0,2.0,3.0,,2023-01-03,,,,34.0,,,0.0,0.0,2.54,1066.8,0.6458167330677291,1,2023
32453,11568844838,1/3/2023,400.0,3420.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0270060v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,34.0,,,0.0,0.0,2.54,1097.28,0.6791578947368422,1,2023
32454,11568981774,1/3/2023,120.0,1738.8,Direct,Existing Business,,Closed and Won,Reorder Button,,Email Marketing,3,,10.02107609v1,10.0,0.0,2.0,3.0,,2023-01-03,,,,10.0,,,0.0,0.0,3.8,547.2,0.6853002070393375,1,2023
32455,11569276553,1/3/2023,300.0,2493.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.02108170v2,10.0,0.0,2.0,1.0,,2023-01-04,,,,25.0,,,0.0,0.0,1.96,611.52,0.754705174488568,1,2023
32456,5976845989,8/18/2021,120.0,1029.6,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,High Res Preview,46.0299546v1,46.0,0.0,113.0,1.0,,2023-01-05,,,,10.0,,,0.0,0.0,2.23,294.36,0.7141025641025641,1,2023
32457,11270295922,12/8/2022,125.0,1078.75,Distributor,New Business,,Closed and Won,,,Organic Search,1,Low ,55.02134408v1,55.0,0.0,114.0,1.0,,2023-01-04,,,,11.0,,,0.0,0.0,2.23,321.12,0.7023221320973349,1,2023
32458,11371925774,12/16/2022,350.0,2565.5,Distributor,New Business,,Closed and Won,Template Download,,Pre-Hubspot Contact,3,Low ,10.02134149v1,10.0,0.0,2.0,1.0,,2023-01-04,,,,30.0,,,0.0,0.0,1.96,729.12,0.7157980900409278,1,2023
32459,11555308140,1/2/2023,120.0,1587.6,Direct,Existing Business,,Closed and Won,Intake 3.0,,Organic Search,1,Low ,55.02134333v1,55.0,0.0,114.0,1.0,,2023-01-04,,,,10.0,,,0.0,0.0,2.23,294.36,0.8145880574452002,1,2023
32460,11426710302,12/21/2022,90.0,897.3,Distributor,Existing Business,,Closed and Won,,,Email Marketing,1,High Res Preview,10.02133380v3,10.0,0.0,2.0,4.0,,2023-01-03,,,,8.0,,,0.0,0.0,2.83,305.64,0.6593781344032096,1,2023
32461,11569951021,1/3/2023,2560.0,14668.8,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.02107583v2,10.0,0.0,2.0,3.0,,2023-01-03,,,,214.0,,,0.0,0.0,1.72,4437.6,0.6974803664921465,1,2023
32462,11570458028,1/3/2023,80.0,797.6,Distributor,Existing Business,,Closed and Won,Intake 3.0,,Pre-Hubspot Contact,2,Low ,10.02134471v1,10.0,0.0,2.0,4.0,,2023-01-03,,,,7.0,,,0.0,0.0,2.83,271.68,0.6593781344032097,1,2023
32463,11401449401,12/19/2022,520.0,3865.6,Distributor,Existing Business,,Closed and Won,Intake 3.0,,Client Referral,2,High Res Preview,10.02132893v3,10.0,0.0,2.0,1.0,,2023-01-03,,,,44.0,,,0.0,0.0,2.23,1117.56,0.7108961092715231,1,2023
32464,11568337287,1/3/2023,365.0,2638.95,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,10.0292069v1,10.0,0.0,2.0,3.0,,2023-01-04,,,,31.0,,,0.0,0.0,2.54,975.36,0.6303984539305405,1,2023
32465,11500004669,12/28/2022,150.0,1923.69,Direct,New Business,,Closed and Won,Intake 3.0,,Intake,1,Low ,10.02134041v3,10.0,0.0,2.0,1.0,,2023-01-03,,,,13.0,,,0.0,0.0,1.96,329.28,0.8288289693245794,1,2023
32466,11456665665,12/23/2022,80.0,937.6,Wholesale,Existing Business,,Closed and Won,Reorder Button,,Email Marketing,2,,10.02121457v2,10.0,0.0,2.0,1.0,,2023-01-04,,,,7.0,,,0.0,0.0,2.56,245.76,0.7378839590443687,1,2023
32467,11511731611,12/29/2022,240.0,1675.2,Direct,Existing Business,,Closed and Won,Reorder Button,,Organic Search,1,,10.02127520v4,10.0,0.0,2.0,1.0,,2023-01-04,,,,20.0,,,0.0,0.0,1.96,493.92,0.7051575931232091,1,2023
32469,11573119644,1/3/2023,240.0,3177.6,Direct,Existing Business,,Closed and Won,Portal Order,,Email Marketing,1,,10.0233995v1,10.0,0.0,2.0,1.0,,2023-01-04,,,,20.0,,,0.0,0.0,2.56,619.44,0.805060422960725,1,2023
32471,11569723706,1/3/2023,176.0,1628.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.02134444v2,10.0,0.0,2.0,1.0,,2023-01-04,,,,15.0,,,0.0,0.0,1.96,376.32,0.7688452088452089,1,2023
32473,11030264654,11/21/2022,60.0,616.2,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,Low ,10.02128341v3,10.0,0.0,2.0,1.0,,2023-01-04,,,,5.0,,,0.0,0.0,2.56,184.32,0.7008763388510224,1,2023
32474,11578593897,1/4/2023,500.0,3824.76,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,,10.0230456v2,10.0,0.0,2.0,4.0,,2023-01-04,,,,42.0,,,0.0,0.0,2.54,1310.64,0.6573275185894016,1,2023
32475,11256093962,12/7/2022,85.0,1231.65,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,High Res Preview,10.02132669v2,10.0,0.0,2.0,1.0,,2023-01-09,,,,8.0,,,0.0,0.0,2.56,276.48,0.7755206430398246,1,2023
32476,11579630138,1/4/2023,60.0,962.4,Direct,Existing Business,,Closed and Won,,,Paid Search,1,High Res Preview,10.0263832v2,10.0,0.0,2.0,1.0,,2023-01-04,,,,5.0,,,0.0,0.0,2.56,184.32,0.8084788029925186,1,2023
32477,11414503207,12/20/2022,310.0,3459.6,Direct,New Business,,Closed and Won,,,Organic Search,1,High Res Preview,10.02133357v4,10.0,0.0,2.0,1.0,,2023-01-04,,,,26.0,,,0.0,0.0,1.96,635.04,0.8164412070759626,1,2023
32478,11579599918,1/4/2023,0.0,3544.0,Distributor,Existing Business,,Closed and Won,Portal Order,,WT Reorder,1,,9102130181v1,910.0,800.0,25.0,5.0,44993.0,2023-01-04,Distributor,existingbusiness,11579599918.0,67.0,0.76,90.0,710.16,698.0,,698.0,0.8030474040632054,1,2023
32479,11579809393,1/4/2023,240.0,3153.29,Direct,Existing Business,,Closed and Won,Portal Order,,Intake,1,,10.02113324v1,10.0,0.0,2.0,4.0,,2023-01-10,,,,20.0,,,0.0,0.0,2.71,715.44,0.7731131611745193,1,2023
32480,11321634916,12/12/2022,158.0,1422.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.02131811v2,10.0,0.0,2.0,1.0,,2023-01-05,,,,14.0,,,0.0,0.0,1.96,352.8,0.7518987341772152,1,2023
32481,11358067059,12/15/2022,120.0,1520.4,Direct,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,High Res Preview,10.02132510v1,10.0,0.0,2.0,1.0,,2023-01-04,,,,10.0,,,0.0,0.0,2.23,294.36,0.8063930544593527,1,2023
32482,11580229753,1/4/2023,120.0,1268.7,Distributor,Existing Business,,Payment Pending,Reorder Button,,Event Longer Than 1 Year Ago,1,,10.02116952v1,10.0,0.0,2.0,3.0,,2023-01-04,,,,10.0,,,0.0,0.0,3.8,547.2,0.5686923622605817,1,2023
32483,11580201903,1/4/2023,60.0,693.6,Distributor,Existing Business,,Closed and Won,Reorder Button,,ESP Central,1,,10.0237418v1,10.0,0.0,2.0,3.0,,2023-01-04,,,,5.0,,,0.0,0.0,3.8,273.6,0.6055363321799307,1,2023
32484,11513807629,12/29/2022,800.0,5480.0,Distributor,Existing Business,,Closed and Won,,,SAGE,3,Low ,10.02134193v1,10.0,0.0,2.0,1.0,,2023-01-04,,,,67.0,,,0.0,0.0,1.79,1460.64,0.7334598540145985,1,2023
32485,11580321358,1/4/2023,120.0,960.0,Distributor,Existing Business,,Closed and Won,Portal Order,,Client Referral,2,,17.02119032v1,17.0,0.0,9.0,1.0,,2023-01-04,,,,10.0,,,0.0,0.0,2.23,294.36,0.693375,1,2023
32487,11580095662,1/4/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0247191v1,10.0,0.0,2.0,4.0,,2023-01-05,,,,10.0,,,0.0,0.0,2.71,357.72,0.6687777777777778,1,2023
32488,11580507743,1/4/2023,125.0,1203.75,Wholesale,Existing Business,,Payment Pending,Reorder Button,,Email Marketing,2,,55.02134567v1,55.0,0.0,114.0,3.0,,2023-01-04,,,,11.0,,,0.0,0.0,2.8,403.2,0.6650467289719626,1,2023
32489,11515059257,12/29/2022,400.0,3200.0,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,1,Low ,10.02134367v2,10.0,0.0,2.0,4.0,,2023-01-04,,,,34.0,,,0.0,0.0,2.54,1097.28,0.6571000000000001,1,2023
32490,11442800018,12/22/2022,73.0,837.31,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,10.02133530v1,10.0,0.0,2.0,4.0,,2023-01-04,,,,7.0,,,0.0,0.0,2.83,271.68,0.6755323595800837,1,2023
32491,11529893185,12/30/2022,720.0,5299.2,Distributor,Existing Business,,Closed and Won,,,SAGE,3,Low ,10.0277035v1,10.0,0.0,2.0,3.0,,2023-01-04,,,,60.0,,,0.0,0.0,2.72,2154.24,0.5934782608695652,1,2023
32492,11444637287,12/22/2022,1000.0,7010.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,WT Reorder,2,,10.02118382v1,10.0,0.0,2.0,3.0,,2023-01-04,,,,84.0,,,0.0,0.0,2.54,2621.28,0.6260656205420826,1,2023
32493,11401514332,12/19/2022,200.0,2386.4,Direct,New Business,,Closed and Won,,,Referrals,1,Low ,55.02134569v1,55.0,0.0,114.0,1.0,,2023-01-04,,,,17.0,,,0.0,0.0,1.96,423.36,0.8225947033188066,1,2023
32495,9210583894,6/16/2022,75.0,860.25,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated,10.02101435v1,10.0,0.0,2.0,4.0,,2023-01-04,,,,7.0,,,0.0,0.0,2.83,271.68,0.6841848299912815,1,2023
32496,11580156170,1/4/2023,60.0,598.2,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.02134584v1,10.0,0.0,2.0,4.0,,2023-01-04,,,,5.0,,,0.0,0.0,2.83,203.76,0.6593781344032097,1,2023
32497,11580826627,1/4/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,6,,10.02119505v1,10.0,0.0,2.0,3.0,,2023-01-04,,,,10.0,,,0.0,0.0,2.72,359.04,0.6675555555555556,1,2023
32498,11581394605,1/4/2023,60.0,908.4,Direct,Existing Business,,Closed and Won,Portal Order,,Client Referral,1,,55.02112333v3,55.0,0.0,114.0,3.0,,2023-01-04,,,,5.0,,,0.0,0.0,3.88,279.36,0.6924702774108322,1,2023
32500,11433093037,12/21/2022,60.0,598.2,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,High Res Preview,10.02134046v1,10.0,0.0,2.0,4.0,,2023-01-05,,,,5.0,,,0.0,0.0,2.83,203.76,0.6593781344032097,1,2023
32501,11567980041,1/3/2023,720.0,5504.4,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.02134443v1,10.0,0.0,2.0,1.0,,2023-01-05,,,,60.0,,,0.0,0.0,1.96,1481.76,0.7308044473512099,1,2023
32502,11580134314,1/4/2023,208.0,1996.8,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,55.02134579v1,55.0,0.0,114.0,1.0,,2023-01-04,,,,18.0,,,0.0,0.0,1.96,446.88,0.7762019230769232,1,2023
32503,11580434823,1/4/2023,500.0,5164.65,Direct,Existing Business,,Closed and Won,,,Email Marketing,2,,10.02100873v1,10.0,0.0,2.0,4.0,,2023-01-04,,,,42.0,,,0.0,0.0,2.54,1310.64,0.746228689262583,1,2023
32504,11331743795,12/13/2022,60.0,962.4,Direct,New Business,,Closed and Won,Intake 3.0,,Direct Traffic,1,High Res Preview,10.02132192v6,10.0,0.0,2.0,4.0,,2023-01-05,,,,5.0,,,0.0,0.0,2.83,203.76,0.7882793017456359,1,2023
32505,11582786358,1/4/2023,100.0,1147.0,Distributor,Existing Business,,Closed and Won,Portal Order,,Client Referral,2,,10.0290909v1,10.0,0.0,2.0,4.0,,2023-01-04,,,,9.0,,,0.0,0.0,2.83,339.6,0.7039232781168265,1,2023
32507,11370000906,12/16/2022,300.0,2355.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0216687v2,10.0,0.0,2.0,3.0,,2023-01-06,,,,25.0,,,0.0,0.0,2.54,792.48,0.6634904458598726,1,2023
32508,11580633762,1/4/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,3,Low ,10.02134590v2,10.0,0.0,2.0,3.0,,2023-01-06,,,,10.0,,,0.0,0.0,2.72,359.04,0.6675555555555556,1,2023
32509,11578169630,1/4/2023,360.0,2638.8,Distributor,Existing Business,,Closed and Won,,,WT Strategic Partnerships,2,Low ,17.02134591v2,17.0,0.0,9.0,1.0,,2023-01-05,,,,30.0,,,0.0,0.0,1.96,729.12,0.7236925875397908,1,2023
32510,11581458015,1/4/2023,2000.0,12640.0,Distributor,Existing Business,,Closed and Won,,,WT Reorder,2,,10.0231293v1,10.0,0.0,2.0,3.0,,2023-01-05,,,,167.0,,,0.0,0.0,2.01,4052.16,0.6794177215189874,1,2023
32511,11372459658,12/16/2022,150.0,1204.5,Distributor,New Business,,Closed and Won,Intake 3.0,,Event Longer Than 1 Year Ago,2,High Res Preview,10.02133118v1,10.0,0.0,2.0,1.0,,2023-01-05,,,,13.0,,,0.0,0.0,1.96,329.28,0.7266251556662516,1,2023
32512,11589921453,1/5/2023,150.0,1890.95,Direct,Existing Business,,Closed and Won,Portal Order,,Email Marketing,3,,10.02129606v3,10.0,0.0,2.0,1.0,,2023-01-05,,,,13.0,,,0.0,0.0,1.96,329.28,0.8258653057986727,1,2023
32513,11569173133,1/3/2023,250.0,2015.0,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,1,High Res Preview,10.02134522v1,10.0,0.0,2.0,3.0,,2023-01-05,,,,21.0,,,0.0,0.0,2.54,670.56,0.6672158808933003,1,2023
32514,11495733585,12/27/2022,60.0,726.0,Distributor,Existing Business,,Closed and Won,Intake 3.0,,Client Referral,2,Low ,55.02133944v6,55.0,0.0,114.0,4.0,,2023-01-05,,,,5.0,,,0.0,0.0,3.0,216.0,0.7024793388429752,1,2023
