Statistic,Column,Value
Count,total_deal_quantity,8746.0
Sum,total_deal_quantity,2651917.0
Mean,total_deal_quantity,303.21484107020353
Median,total_deal_quantity,125.0
Min,total_deal_quantity,0.0
Max,total_deal_quantity,20135.0
Std,total_deal_quantity,661.4837798481075
Q1,total_deal_quantity,65.0
Q3,total_deal_quantity,300.0
Count,amount_in_company_currency,8745.0
Sum,amount_in_company_currency,23213615.205000002
Mean,amount_in_company_currency,2654.501452830189
Median,amount_in_company_currency,1532.8
Min,amount_in_company_currency,0.0
Max,amount_in_company_currency,137620.0
Std,amount_in_company_currency,4208.472064094054
Q1,amount_in_company_currency,962.4
Q3,amount_in_company_currency,2865.0
Count,number_of_associated_contacts,8746.0
Sum,number_of_associated_contacts,16495.0
Mean,number_of_associated_contacts,1.8860050308712555
Median,number_of_associated_contacts,2.0
Min,number_of_associated_contacts,0.0
Max,number_of_associated_contacts,8.0
Std,number_of_associated_contacts,0.8786487765160818
Q1,number_of_associated_contacts,1.0
Q3,number_of_associated_contacts,2.0
Count,total_intl_product_quantity,8746.0
Sum,total_intl_product_quantity,220771.0
Mean,total_intl_product_quantity,25.242510862108393
Median,total_intl_product_quantity,0.0
Min,total_intl_product_quantity,0.0
Max,total_intl_product_quantity,50000.0
Std,total_intl_product_quantity,587.8342631573307
Q1,total_intl_product_quantity,0.0
Q3,total_intl_product_quantity,0.0
Count,Total SKU DZ on PO,8746.0
Sum,Total SKU DZ on PO,242026.0
Mean,Total SKU DZ on PO,27.672764692430825
Median,Total SKU DZ on PO,13.0
Min,Total SKU DZ on PO,1.0
Max,Total SKU DZ on PO,4167.0
Std,Total SKU DZ on PO,73.08842475617968
Q1,Total SKU DZ on PO,8.0
Q3,Total SKU DZ on PO,26.0
Count,cost_per_sku,8439.0
Sum,cost_per_sku,20991.86
Mean,cost_per_sku,2.4874819291385237
Median,cost_per_sku,2.54
Min,cost_per_sku,1.27
Max,cost_per_sku,3.88
Std,cost_per_sku,0.4382514696778901
Q1,cost_per_sku,2.01
Q3,cost_per_sku,2.83
Count,total_sku_cost,8746.0
Sum,total_sku_cost,6288083.350000001
Mean,total_sku_cost,718.9667676652184
Median,total_sku_cost,399.84
Min,total_sku_cost,1.8
Max,total_sku_cost,32000.0
Std,total_sku_cost,1192.6276564972798
Q1,total_sku_cost,276.48
Q3,total_sku_cost,747.12
