deal_type_x,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
Existing Business,2687.46,1542.00,151035.11,0.00,17218538.97,4685.00,349.01,150.00,25085.00,0.00,2236427.00,818.62,776.66,423.36,43086.72,122.76,4976833.12,1362.25,0.69,0.70,0.94,-3.24,4443.37,0.11
New Business,2521.08,1613.52,44700.00,0.00,4227852.49,3125.19,263.00,120.00,10000.00,0.00,441045.00,482.39,628.21,371.52,13744.08,91.52,1053511.16,789.91,0.73,0.76,0.95,-10.35,1218.56,0.29
