automation_tools,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
3D Builder,1976.77,1449.45,8968.08,585.60,256980.74,1620.55,166.22,120.00,950.00,0.00,21609.00,161.80,426.32,340.56,1739.88,184.32,55421.08,312.66,0.77,0.78,0.84,0.65,100.65,0.04
Intake 1.0,3812.03,3812.03,3812.03,3812.03,3812.03,,360.00,360.00,360.00,360.00,360.00,,896.52,896.52,896.52,896.52,896.52,,0.76,0.76,0.76,0.76,0.76,
Intake 2.0 Edward,2544.93,1593.87,26492.57,585.60,995069.33,2554.25,241.01,120.00,4000.00,0.00,94236.00,307.56,592.78,368.64,6894.72,151.20,231777.36,586.38,0.76,0.77,0.90,0.38,296.61,0.06
Intake 2.0 Jacob,832.20,832.20,832.20,832.20,832.20,,60.00,60.00,60.00,60.00,60.00,,184.32,184.32,184.32,184.32,184.32,,0.78,0.78,0.78,0.78,0.78,
Intake 3.0,2176.76,1474.68,20939.88,168.00,1253813.26,2103.65,194.19,120.00,2400.00,0.00,111851.00,236.07,495.73,340.56,4072.32,184.32,285541.76,451.56,0.76,0.78,0.90,-0.10,437.74,0.07
Knitted Mockup Tool,1998.49,1446.00,9508.19,830.40,75942.78,1705.91,196.26,120.00,1200.00,60.00,7458.00,240.72,479.11,340.56,2314.92,184.32,18206.28,457.13,0.77,0.77,0.84,0.65,29.14,0.04
New Project In Portal,2209.29,1282.80,34050.24,0.00,444067.66,3199.57,297.18,126.00,5000.00,60.00,59734.00,515.47,687.64,383.76,10395.60,151.20,138216.24,986.50,0.68,0.69,0.83,0.00,137.35,0.07
Portal Order,3447.30,1851.84,54488.80,0.00,1172082.49,4881.90,388.17,180.00,8480.00,60.00,131979.00,697.15,838.72,478.32,16488.60,184.32,285166.44,1270.89,0.75,0.77,0.89,0.00,253.85,0.08
Quote Request,2634.55,1570.45,10907.20,603.60,79036.41,2669.39,274.30,124.50,1360.00,60.00,8229.00,321.17,665.34,340.56,3739.80,184.32,19960.32,738.74,0.74,0.76,0.83,0.60,22.19,0.06
Reorder Button,2954.21,1792.80,101574.25,0.00,2590845.55,5609.21,398.05,200.00,22500.00,0.00,349094.00,1131.63,857.66,517.44,35156.16,122.76,752166.20,1812.21,0.69,0.71,0.93,-3.24,605.80,0.18
Revision Request,3062.44,1650.79,21567.00,585.60,232745.23,4120.97,356.93,120.00,3900.00,0.00,27127.00,675.80,785.10,391.92,6259.20,184.32,59667.64,1140.24,0.74,0.74,0.86,0.60,56.16,0.06
Sample Request,2156.28,1197.87,5260.34,558.00,21562.81,1782.56,187.00,125.00,420.00,60.00,1870.00,142.21,505.64,336.12,1105.56,185.76,5056.44,315.10,0.71,0.73,0.81,0.52,7.07,0.10
Template Download,2972.26,1977.81,18201.04,581.40,261558.92,2767.78,297.52,190.00,3182.00,50.00,26182.00,388.41,699.78,494.64,5126.40,184.32,61580.40,683.20,0.75,0.77,0.95,0.49,66.08,0.07
