deal_type_x,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
Existing Business,2746.12,1600.00,137620.00,0.00,19170681.75,4312.50,326.21,150.00,20000.00,0.00,2277291.00,678.10,759.65,423.36,30460.80,1.80,5303107.00,1185.94,0.70,0.71,0.98,-10.05,4907.00,0.24
New Business,2289.88,1520.40,96543.70,0.00,4034771.85,3749.07,211.78,120.00,20135.00,0.00,373376.00,582.56,557.15,357.72,32000.00,3.60,982250.31,1205.83,0.73,0.77,0.98,-10.32,1282.75,0.36
