design_difficulty,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
High ,4796.61,2175.81,96543.70,0.00,470067.50,10416.76,664.84,240.00,20135.00,0.00,65819.00,2102.47,1329.91,611.52,30624.96,152.64,131660.90,3234.46,0.70,0.72,0.88,-0.05,69.73,0.14
High Res Preview,2351.86,1466.44,52427.00,0.00,3922903.99,3432.17,248.63,120.00,10300.00,0.00,414713.00,541.70,602.67,359.04,17134.20,5.40,1005253.76,932.95,0.72,0.74,0.97,-8.46,1207.18,0.24
Low ,2523.75,1517.10,79234.12,0.00,6347219.40,3779.00,285.95,121.00,12000.00,0.00,719174.00,567.97,683.59,390.50,18757.44,3.60,1719221.13,994.23,0.71,0.72,0.98,-10.32,1773.59,0.31
Medium ,3097.55,1891.38,32830.98,0.00,1170873.53,4121.33,342.98,177.50,5404.00,0.00,129646.00,610.70,815.02,492.72,10773.60,3.60,308077.52,1205.86,0.72,0.73,0.98,0.00,273.94,0.08
Not Rated,2859.66,1575.00,18300.00,398.70,386054.29,3217.88,316.63,120.00,3000.00,0.00,42745.00,464.90,774.47,376.32,5171.04,140.64,104554.04,860.18,0.72,0.72,0.82,0.56,96.68,0.06
