client_type_x,amount_in_company_currency_mean,amount_in_company_currency_median,amount_in_company_currency_max,amount_in_company_currency_min,amount_in_company_currency_sum,amount_in_company_currency_std,total_deal_quantity_mean,total_deal_quantity_median,total_deal_quantity_max,total_deal_quantity_min,total_deal_quantity_sum,total_deal_quantity_std,total_sku_cost_mean,total_sku_cost_median,total_sku_cost_max,total_sku_cost_min,total_sku_cost_sum,total_sku_cost_std,gross_margin_mean,gross_margin_median,gross_margin_max,gross_margin_min,gross_margin_sum,gross_margin_std
B2C,683.20,683.20,683.20,683.20,683.20,,60.00,60.00,60,60,60,,185.76,185.76,185.76,185.76,185.76,,0.73,0.73,0.73,0.73,0.73,
Direct,966.29,988.20,1515.00,0.00,2107487.92,297.84,287.39,150.00,6396,0,626790,437.00,264.38,294.36,375.96,0.00,576603.24,83.75,0.72,0.72,1.00,0.00,1573.87,0.08
Distributor,925.52,944.40,1515.00,0.00,5288446.32,308.03,346.64,150.00,25085,0,1980703,851.92,253.58,263.52,375.96,0.00,1448980.20,87.96,0.71,0.72,1.00,0.00,4080.17,0.11
Wholesale,932.37,997.80,1495.36,0.00,169692.08,328.08,371.04,199.00,10500,0,67529,827.47,253.06,294.36,373.56,0.00,46057.32,98.83,0.73,0.72,1.00,0.00,132.05,0.11
